sector_name,subsector_name,series_id,series_name,year,country_name,country_value,income_group_name,income_group_average,subregion_name,region_name,region_average
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2008,Cuba,92.701,Upper Middle Income Country (World Bank Classification),93.0038157894736842105263,Caribbean,Latin America and the Caribbean,90.7430475
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2009,Cuba,99.32326,Upper Middle Income Country (World Bank Classification),94.764817391304347826087,Caribbean,Latin America and the Caribbean,95.4036271428571428571429
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2010,Cuba,98.41945,Upper Middle Income Country (World Bank Classification),95.9193521739130434782609,Caribbean,Latin America and the Caribbean,92.7741178947368421052632
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2011,Cuba,99.40349,Upper Middle Income Country (World Bank Classification),95.939066,Caribbean,Latin America and the Caribbean,96.131405
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2012,Cuba,98.46267,Upper Middle Income Country (World Bank Classification),93.2125936,Caribbean,Latin America and the Caribbean,96.2484338888888888888889
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2013,Cuba,98.11956,Upper Middle Income Country (World Bank Classification),90.4336125714285714285714,Caribbean,Latin America and the Caribbean,94.8917247619047619047619
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2014,Cuba,101.42496,Upper Middle Income Country (World Bank Classification),91.9506510810810810810811,Caribbean,Latin America and the Caribbean,95.0624561904761904761905
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2015,Cuba,103.6998,Upper Middle Income Country (World Bank Classification),96.6664938888888888888889,Caribbean,Latin America and the Caribbean,94.4223404545454545454545
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2016,Cuba,99.00476,Upper Middle Income Country (World Bank Classification),97.905496,Caribbean,Latin America and the Caribbean,93.7873859090909090909091
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2017,Cuba,95.16048,Upper Middle Income Country (World Bank Classification),91.45857,Caribbean,Latin America and the Caribbean,90.1320690909090909090909
Education,Primary Education,1796,"Gross graduation ratio from primary education, both sexes (percentage)",2018,Cuba,90.42532,Upper Middle Income Country (World Bank Classification),92.7016378260869565217391,Caribbean,Latin America and the Caribbean,91.7040616666666666666667
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2008,Cuba,146.83803,Upper Middle Income Country (World Bank Classification),44.188419696969696969697,Caribbean,Latin America and the Caribbean,47.652779375
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2009,Cuba,143.19979,Upper Middle Income Country (World Bank Classification),47.2076020689655172413793,Caribbean,Latin America and the Caribbean,51.8082671428571428571429
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2010,Cuba,118.6249,Upper Middle Income Country (World Bank Classification),47.2521264285714285714286,Caribbean,Latin America and the Caribbean,48.7816057142857142857143
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2011,Cuba,101.22367,Upper Middle Income Country (World Bank Classification),49.7026871428571428571429,Caribbean,Latin America and the Caribbean,51.0417292857142857142857
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2012,Cuba,77.80103,Upper Middle Income Country (World Bank Classification),48.4344387878787878787879,Caribbean,Latin America and the Caribbean,46.487269375
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2013,Cuba,62.12298,Upper Middle Income Country (World Bank Classification),50.1339310344827586206897,Caribbean,Latin America and the Caribbean,45.5134969230769230769231
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2015,Cuba,42.50212,Upper Middle Income Country (World Bank Classification),50.97262,Caribbean,Latin America and the Caribbean,48.715844375
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2016,Cuba,40.00702,Upper Middle Income Country (World Bank Classification),54.6177840625,Caribbean,Latin America and the Caribbean,54.9397714285714285714286
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2017,Cuba,50.50682,Upper Middle Income Country (World Bank Classification),56.089669696969696969697,Caribbean,Latin America and the Caribbean,57.3840830769230769230769
Gender,Education,1817,"Gross enrolment ratio, tertiary, female (percentage)",2018,Cuba,51.00784,Upper Middle Income Country (World Bank Classification),55.4716347058823529411765,Caribbean,Latin America and the Caribbean,41.9215116666666666666667
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2008,Cuba,117.10081,Upper Middle Income Country (World Bank Classification),37.6897961764705882352941,Caribbean,Latin America and the Caribbean,41.1320382352941176470588
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2009,Cuba,114.0977,Upper Middle Income Country (World Bank Classification),41.6824106451612903225806,Caribbean,Latin America and the Caribbean,45.4203606666666666666667
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2010,Cuba,94.85229,Upper Middle Income Country (World Bank Classification),40.4117841379310344827586,Caribbean,Latin America and the Caribbean,41.4166133333333333333333
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2011,Cuba,80.91815,Upper Middle Income Country (World Bank Classification),42.4838882758620689655172,Caribbean,Latin America and the Caribbean,42.9172328571428571428571
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2012,Cuba,63.8295,Upper Middle Income Country (World Bank Classification),41.8438773529411764705882,Caribbean,Latin America and the Caribbean,39.960403125
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2013,Cuba,49.26814,Upper Middle Income Country (World Bank Classification),43.911779,Caribbean,Latin America and the Caribbean,41.0014286666666666666667
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2014,Cuba,40.96097,Upper Middle Income Country (World Bank Classification),42.5112866666666666666667,Caribbean,Latin America and the Caribbean,43.3630433333333333333333
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2015,Cuba,36.1142,Upper Middle Income Country (World Bank Classification),44.5272548387096774193548,Caribbean,Latin America and the Caribbean,43.2383082352941176470588
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2016,Cuba,34.03981,Upper Middle Income Country (World Bank Classification),48.3654596875,Caribbean,Latin America and the Caribbean,48.9638133333333333333333
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2017,Cuba,39.91314,Upper Middle Income Country (World Bank Classification),48.8167663636363636363636,Caribbean,Latin America and the Caribbean,50.9519107142857142857143
Education,Tertiary Education,1819,"Gross enrolment ratio, tertiary, both sexes (percentage)",2018,Cuba,41.37902,Upper Middle Income Country (World Bank Classification),48.7855158823529411764706,Caribbean,Latin America and the Caribbean,36.9195216666666666666667
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2007,Cuba,8.652,Upper Middle Income Country (World Bank Classification),4.07921724137931034482759,Caribbean,Latin America and the Caribbean,2.919377777777778
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2010,Cuba,9.0897,Upper Middle Income Country (World Bank Classification),4.10607560975609756097561,Caribbean,Latin America and the Caribbean,2.91342
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2012,Cuba,8.0943,Upper Middle Income Country (World Bank Classification),4.44399285714285714285714,Caribbean,Latin America and the Caribbean,2.2613875
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2013,Cuba,7.7429,Upper Middle Income Country (World Bank Classification),4.79925806451612903225806,Caribbean,Latin America and the Caribbean,3.002755555555556
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2014,Cuba,7.9341,Upper Middle Income Country (World Bank Classification),4.45281111111111111111111,Caribbean,Latin America and the Caribbean,2.669133333333333
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2017,Cuba,7.79,Upper Middle Income Country (World Bank Classification),2.91669375,Caribbean,Latin America and the Caribbean,2.86213076923076923076923
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2008,Cuba,76.413,Upper Middle Income Country (World Bank Classification),60.2237090909090909090909,Caribbean,Latin America and the Caribbean,63.83325
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2009,Cuba,76.505,Upper Middle Income Country (World Bank Classification),60.6193636363636363636364,Caribbean,Latin America and the Caribbean,64.0842857142857142857143
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2010,Cuba,76.597,Upper Middle Income Country (World Bank Classification),61.0171818181818181818182,Caribbean,Latin America and the Caribbean,64.3377857142857142857143
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2011,Cuba,76.689,Upper Middle Income Country (World Bank Classification),61.4119272727272727272727,Caribbean,Latin America and the Caribbean,64.612
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2012,Cuba,76.781,Upper Middle Income Country (World Bank Classification),61.7888363636363636363636,Caribbean,Latin America and the Caribbean,64.8875714285714285714286
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2013,Cuba,76.827,Upper Middle Income Country (World Bank Classification),62.1401636363636363636364,Caribbean,Latin America and the Caribbean,65.1573571428571428571429
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2014,Cuba,76.861,Upper Middle Income Country (World Bank Classification),62.4896909090909090909091,Caribbean,Latin America and the Caribbean,65.4266428571428571428571
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2015,Cuba,76.896,Upper Middle Income Country (World Bank Classification),62.8280363636363636363636,Caribbean,Latin America and the Caribbean,65.6972142857142857142857
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2016,Cuba,76.93,Upper Middle Income Country (World Bank Classification),63.1667454545454545454545,Caribbean,Latin America and the Caribbean,65.9684642857142857142857
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2017,Cuba,76.977,Upper Middle Income Country (World Bank Classification),63.5056,Caribbean,Latin America and the Caribbean,66.2410357142857142857143
Environment and Global Climate Change,Land resources,5382,Urban population (% of total population),2018,Cuba,77.037,Upper Middle Income Country (World Bank Classification),63.8455636363636363636364,Caribbean,Latin America and the Caribbean,66.516
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2000,Cuba,41.19862,Upper Middle Income Country (World Bank Classification),16.8187285714285714285714,Caribbean,Latin America and the Caribbean,15.4117728571428571428571
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2001,Cuba,40.58853,Upper Middle Income Country (World Bank Classification),17.3042546666666666666667,Caribbean,Latin America and the Caribbean,17.038198
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2002,Cuba,44.06536,Upper Middle Income Country (World Bank Classification),17.1831955555555555555556,Caribbean,Latin America and the Caribbean,15.7380261538461538461538
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2004,Cuba,44.23533,Upper Middle Income Country (World Bank Classification),14.9995695652173913043478,Caribbean,Latin America and the Caribbean,14.9569547058823529411765
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2005,Cuba,47.773,Upper Middle Income Country (World Bank Classification),18.2743005882352941176471,Caribbean,Latin America and the Caribbean,14.927602
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2006,Cuba,42.70407,Upper Middle Income Country (World Bank Classification),16.320886875,Caribbean,Latin America and the Caribbean,14.0792508333333333333333
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2007,Cuba,53.50966,Upper Middle Income Country (World Bank Classification),16.8938352380952380952381,Caribbean,Latin America and the Caribbean,15.3298758823529411764706
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2008,Cuba,53.62812,Upper Middle Income Country (World Bank Classification),16.92779,Caribbean,Latin America and the Caribbean,18.3228478571428571428571
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2009,Cuba,50.73605,Upper Middle Income Country (World Bank Classification),18.3674165217391304347826,Caribbean,Latin America and the Caribbean,18.1367994117647058823529
Education,Secondary Education,5399,Government expenditure per secondary student as percentage of GDP per capita (percentage),2010,Cuba,51.85674,Upper Middle Income Country (World Bank Classification),17.0583408333333333333333,Caribbean,Latin America and the Caribbean,17.1671910526315789473684
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2008,Cuba,29.0,Upper Middle Income Country (World Bank Classification),20.94871794871795,Caribbean,Latin America and the Caribbean,21.52
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2009,Cuba,32.0,Upper Middle Income Country (World Bank Classification),23.48717948717949,Caribbean,Latin America and the Caribbean,24.48
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2010,Cuba,35.0,Upper Middle Income Country (World Bank Classification),26.87179487179487,Caribbean,Latin America and the Caribbean,27.68
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2011,Cuba,39.0,Upper Middle Income Country (World Bank Classification),29.61538461538462,Caribbean,Latin America and the Caribbean,30.0
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2012,Cuba,41.0,Upper Middle Income Country (World Bank Classification),32.64102564102564,Caribbean,Latin America and the Caribbean,32.68
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2013,Cuba,44.0,Upper Middle Income Country (World Bank Classification),35.71794871794872,Caribbean,Latin America and the Caribbean,36.12
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2014,Cuba,50.0,Upper Middle Income Country (World Bank Classification),38.74358974358974,Caribbean,Latin America and the Caribbean,39.2
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2015,Cuba,57.0,Upper Middle Income Country (World Bank Classification),42.71794871794872,Caribbean,Latin America and the Caribbean,42.4
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2016,Cuba,61.0,Upper Middle Income Country (World Bank Classification),47.46153846153846,Caribbean,Latin America and the Caribbean,46.32
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2017,Cuba,66.0,Upper Middle Income Country (World Bank Classification),51.46153846153846,Caribbean,Latin America and the Caribbean,50.12
Health,HIV and AIDS,5434,Antiretroviral therapy coverage (percentage of people living with HIV),2018,Cuba,72.0,Upper Middle Income Country (World Bank Classification),56.64102564102564,Caribbean,Latin America and the Caribbean,54.72
Environment and Global Climate Change,Water resources,5474,Renewable internal freshwater resources per capita (cubic meters),2007,Cuba,3388.106537,Upper Middle Income Country (World Bank Classification),23402.38624320408163265306122449,Caribbean,Latin America and the Caribbean,37211.042212785714285714285714286
Environment and Global Climate Change,Water resources,5474,Renewable internal freshwater resources per capita (cubic meters),2012,Cuba,3386.307007,Upper Middle Income Country (World Bank Classification),22114.291241857142857142857142857,Caribbean,Latin America and the Caribbean,35498.2813745
Environment and Global Climate Change,Water resources,5474,Renewable internal freshwater resources per capita (cubic meters),2014,Cuba,3371.392093,Upper Middle Income Country (World Bank Classification),21611.605334836734693877551020408,Caribbean,Latin America and the Caribbean,34805.623315607142857142857142857
Environment and Global Climate Change,Emissions,5478,CO2 intensity (kg per kg of oil equivalent energy use),2004,Cuba,2.217216,Upper Middle Income Country (World Bank Classification),2.63781621568627450980392,Caribbean,Latin America and the Caribbean,2.28575260714285714285714
Environment and Global Climate Change,Emissions,5478,CO2 intensity (kg per kg of oil equivalent energy use),2005,Cuba,2.437422,Upper Middle Income Country (World Bank Classification),2.57402259615384615384615,Caribbean,Latin America and the Caribbean,2.27460985714285714285714
